DB00006	P00734
DB00014	P22888
DB00014	P30968
DB00035	P30518
DB00035	P37288
DB00035	P47901
DB00050	P30968
DB00050	P22888
DB00091	P49069
DB00091	Q96LZ3
DB00091	P62937
DB00091	P30405
DB00093	P37288
DB00104	P30872
DB00104	P35346
DB00104	P30874
DB00115	Q99707
DB00115	P22033
DB00115	Q9UBK8
DB00115	Q8IVH4
DB00115	Q9Y4U1
DB00115	P42898
DB00116	P11586
DB00116	P13995
DB00116	P48728
DB00116	O75891
DB00116	Q99707
DB00116	O95954
DB00116	P31939
DB00116	P34896
DB00116	P34897
DB00116	P42898
DB00116	Q96DP5
DB00117	P19113
DB00117	P12081
DB00117	P42357
DB00118	Q14749
DB00118	P17707
DB00118	P31153
DB00118	P35520
DB00118	Q00266
DB00118	P21964
DB00118	Q8N1G2
DB00118	Q9HBK9
DB00119	O15427
DB00119	P36021
DB00119	Q9BYV1
DB00119	O15375
DB00119	P30613
DB00119	O15403
DB00119	O60669
DB00119	P11177
DB00119	P14618
DB00119	P80404
DB00119	O95907
DB00119	P53985
DB00119	P11498
DB00120	P17735
DB00120	Q9UHI5
DB00120	Q9Y285
DB00120	P00439
DB00120	O95363
DB00120	Q9NSD9
DB00120	P07101
DB00121	P05166
DB00121	P50747
DB00121	Q9Y289
DB00121	Q9HCC0
DB00121	O00763
DB00121	Q96RQ3
DB00121	P11498
DB00121	P05165
DB00121	Q13085
DB00122	Q9Y5K3
DB00122	P22303
DB00122	P49585
DB00122	O14939
DB00122	P06276
DB00122	Q13393
DB00122	Q8TCT1
DB00122	P36544
DB00123	P30825
DB00123	O43246
DB00123	Q8WY07
DB00123	P52569
DB00123	Q15046
DB00125	P29474
DB00125	Q8WY07
DB00125	Q96A70
DB00125	P04424
DB00125	P35228
DB00125	P30825
DB00125	P78540
DB00125	O43246
DB00125	P00966
DB00126	P09848
DB00126	O00469
DB00126	O14832
DB00126	O60568
DB00126	O75936
DB00126	P09172
DB00126	P19021
DB00126	P13674
DB00126	Q32P28
DB00126	Q6N063
DB00126	Q6NS38
DB00126	Q8IVL5
DB00126	Q8IVL6
DB00126	Q8N543
DB00126	Q96KS0
DB00126	Q96Q83
DB00126	Q9BY66
DB00126	Q9GZT9
DB00126	Q9UHI7
DB00126	Q02809
DB00126	Q9H6Z9
DB00126	Q9NVH6
DB00126	Q9NXG6
DB00127	P52788
DB00127	Q9NWM0
DB00127	P11926
DB00127	P41180
DB00127	P08588
DB00127	P07550
DB00128	P07998
DB00128	P61626
DB00128	Q9UJS0
DB00128	P17174
DB00128	P45381
DB00128	P08243
DB00128	P00966
DB00128	Q03154
DB00128	P00505
DB00128	P14868
DB00128	O75746
DB00128	Q12797
DB00128	P22234
DB00128	P27708
DB00128	P30520
DB00128	P43005
DB00128	Q6PI48
DB00128	Q7L266
DB00128	Q8N142
DB00128	Q96HD9
DB00129	P04181
DB00129	P00480
DB00129	P05089
DB00129	P54368
DB00129	P52569
DB00129	Q9BXI2
DB00129	O43246
DB00129	P30825
DB00129	P78540
DB00129	Q9Y619
DB00129	Q8WY07
DB00129	O95190
DB00129	P50440
DB00129	Q9UMX2
DB00130	P17812
DB00130	Q06203
DB00130	P15104
DB00131	P16220
DB00131	P11309
DB00131	Q07343
DB00131	P06737
DB00131	Q9Y478
DB00131	P49773
DB00131	Q08499
DB00131	Q9NUB1
DB00131	Q9NR19
DB00131	Q13131
DB00131	O43741
DB00131	Q08828
DB00131	P33121
DB00131	P09467
DB00131	P55263
DB00132	O60427
DB00132	O95864
DB00132	P32418
DB00132	Q8NER1
DB00132	Q9GZR5
DB00132	Q07869
DB00132	Q96RI1
DB00132	Q03181
DB00132	P37231
DB00132	P19793
DB00133	P35520
DB00133	P20132
DB00133	Q9GZT4
DB00133	O15270
DB00133	O15269
DB00133	P49591
DB00133	P21549
DB00134	Q9UBK8
DB00134	Q99707
DB00134	P50579
DB00134	Q93088
DB00134	Q9H2M3
DB00135	P07101
DB00135	Q9Y2Z4
DB00135	P54577
DB00135	P17735
DB00136	P11473
DB00136	P31260
DB00136	P02774
DB00138	Q9UPY5
DB00138	O60931
DB00138	P82251
DB00138	Q07837
DB00139	Q99643
DB00139	Q9BXA5
DB00139	Q9BYC2
DB00139	Q9NVH6
DB00139	Q9P2R7
DB00139	Q9UBX3
DB00139	P31040
DB00139	O14756
DB00139	Q8WWT9
DB00139	Q9BZW2
DB00139	Q96I99
DB00139	O14521
DB00139	O15460
DB00139	O60568
DB00139	O75936
DB00139	P13674
DB00139	P21912
DB00139	P51649
DB00139	P53597
DB00139	P55809
DB00139	Q02809
DB00139	Q12797
DB00139	Q32P28
DB00139	Q8IVL5
DB00139	Q8IVL6
DB00140	Q969G6
DB00140	P30043
DB00141	O60512
DB00141	O60513
DB00141	O60909
DB00141	Q9UJ70
DB00141	Q9UK23
DB00141	P54802
DB00141	P51606
DB00141	P15291
DB00142	Q13255
DB00142	Q14833
DB00142	Q16099
DB00142	Q16478
DB00142	Q14831
DB00142	O00222
DB00142	O00341
DB00142	O14841
DB00142	O15067
DB00142	O15382
DB00142	O15399
DB00142	O43424
DB00142	O60391
DB00142	O75879
DB00142	O94925
DB00142	P00505
DB00142	P07814
DB00142	P08243
DB00142	P15104
DB00142	P17174
DB00142	P17735
DB00142	P24298
DB00142	P38435
DB00142	P43003
DB00142	P43004
DB00142	P43005
DB00142	P48506
DB00142	P48664
DB00142	P49448
